Date,Hour,Month,Temperature
12,0,5,26.04
12,1,5,26.01
12,2,5,26.04
12,3,5,25.97
12,4,5,25.98
12,5,5,26.06
12,6,5,26.56
12,7,5,26.87
12,8,5,28.35
12,9,5,30.02
12,10,5,32.24
12,11,5,33.46
12,12,5,34.59
12,13,5,35.58
12,14,5,35.1
12,15,5,34.48
12,16,5,33.7
12,17,5,31.83
12,18,5,29.68
12,19,5,26.42
12,20,5,25.99
12,21,5,25.65
12,22,5,25.29
12,23,5,25.1
13,0,5,24.88
13,1,5,24.69
13,2,5,24.88
13,3,5,24.81
13,4,5,24.76
13,5,5,24.78
13,6,5,25.06
13,7,5,25.27
13,8,5,25.9
13,9,5,26.48
13,10,5,27.22
13,11,5,28.21
13,12,5,29.35
13,13,5,29.67
13,14,5,29.58
13,15,5,28.89
13,16,5,28.23
13,17,5,27.16
13,18,5,26.06
13,19,5,25.63
13,20,5,25.26
13,21,5,24.95
13,22,5,24.61
13,23,5,24.44
14,0,5,24.24
14,1,5,24.06
14,2,5,23.65
14,3,5,23.27
14,4,5,22.86
14,5,5,22.77
14,6,5,22.81
14,7,5,22.95
14,8,5,23.43
14,9,5,23.74
14,10,5,24.13
14,11,5,24.47
14,12,5,24.96
14,13,5,25.27
14,14,5,25.5
14,15,5,25.56
14,16,5,25.7
14,17,5,25.2
14,18,5,24.65
14,19,5,25.52
14,20,5,25.23
14,21,5,24.94
14,22,5,24.47
14,23,5,24.59
15,0,5,24.6
15,1,5,24.62
15,2,5,24.58
15,3,5,24.55
15,4,5,24.51
15,5,5,24.5
15,6,5,24.68
15,7,5,24.87
15,8,5,25.25
15,9,5,25.43
15,10,5,25.75
15,11,5,25.53
15,12,5,25.58
15,13,5,25.46
15,14,5,25.09
15,15,5,24.4
15,16,5,23.79
15,17,5,22.84
15,18,5,21.88
15,19,5,20.3
15,20,5,20.25
15,21,5,20.21
15,22,5,20.16
15,23,5,20.02
16,0,5,19.85
16,1,5,19.71
16,2,5,19.57
16,3,5,19.44
16,4,5,19.32
16,5,5,19.15
16,6,5,19.05
16,7,5,18.98
16,8,5,19.11
16,9,5,19.21
16,10,5,19.41
16,11,5,19.44
16,12,5,19.54
16,13,5,19.5
16,14,5,19.68
16,15,5,19.75
16,16,5,19.85
16,17,5,19.76
16,18,5,19.56
16,19,5,20.52
16,20,5,20.24
16,21,5,19.99
16,22,5,19.72
16,23,5,19.6
17,0,5,19.46
17,1,5,19.28
12,2,5,19.24
17,3,5,19.23
17,4,5,19.22
17,5,5,19.28
17,6,5,19.94
17,7,5,20.77
17,8,5,22.57
17,9,5,24.23
17,10,5,25.87
17,11,5,26.7
17,12,5,27.48
17,13,5,28.16
17,14,5,28.04
17,15,5,27.8
17,16,5,27.41
17,17,5,26.02
17,18,5,24.35
17,19,5,23.11
17,20,5,22.74
17,21,5,22.34
17,22,5,21.85
17,23,5,21.71
18,0,5,21.63
18,1,5,21.6
18,2,5,21.27
18,3,5,21
18,4,5,20.81
18,5,5,20.97
18,6,5,21.93
18,7,5,22.69
18,8,5,24.26
18,9,5,25.7
18,10,5,26.73
18,11,5,26.66
18,12,5,26.8
18,13,5,26.87
18,14,5,27.06
18,15,5,26.09
18,16,5,26.18
18,17,5,25.63
18,18,5,25.06
18,19,5,24.36
18,20,5,24.24
18,21,5,24.08
18,22,5,24.1
18,23,5,24.12
19,0,5,23.6
19,1,5,23.33
19,2,5,23.2
19,3,5,22.99
19,4,5,23.25
19,5,5,23.55
19,6,5,24.34
19,7,5,24.95
19,8,5,26.26
19,9,5,26.79
19,10,5,27.74
19,11,5,28.1
19,12,5,28.51
19,13,5,28.79
19,14,5,28.7
19,15,5,28.5
19,16,5,29.01
19,17,5,27.97
19,18,5,26.68
19,19,5,25.76
19,20,5,25.27
19,21,5,24.92
19,22,5,24.54
19,23,5,24.21
20,0,5,24.03
20,1,5,24.02
20,2,5,24.02
20,3,5,24.09
20,4,5,24.03
20,5,5,24.39
20,6,5,25.41
20,7,5,26.3
20,8,5,27.02
20,9,5,27.69
20,10,5,28.07
20,11,5,28.08
20,12,5,28.67
20,13,5,28.91
20,14,5,29.75
20,15,5,29.86
20,16,5,29.76
20,17,5,28.55
20,18,5,27.12
20,19,5,25.9
20,20,5,25.49
20,21,5,25
20,22,5,24.37
20,23,5,24.08
21,0,5,23.92
21,1,5,23.78
21,2,5,23.6
21,3,5,23.43
21,4,5,23.24
21,5,5,23.24
21,6,5,23.48
21,7,5,23.65
21,8,5,24.21
21,9,5,24.8
21,10,5,25.5
21,11,5,26.6
